path,issue,detail
logs/demo_priv.pem,PRIVATE_KEY,"Contains -----BEGIN PRIVATE KEY----- / -----END PRIVATE KEY----- block"
keys/1779885422/priv.pem,PRIVATE_KEY,"Contains -----BEGIN PRIVATE KEY----- / -----END PRIVATE KEY----- block"
repomix-output.xml,POTENTIAL_TOKEN,"Multiple occurrences of identifier 'token' (search matched); inspect for embedded secrets"
scripts/publish_pubkey.py,POTENTIAL_API_KEY,"Example shows '--api-key SECRET' and Authorization header usage"
scripts/mask_and_run_repomix.py,PRIVATE_KEY_MASKING,"Masking logic present that removes private key PEM blocks (indicates private keys may be in repo)"
core/ipat_adapter.py,POTENTIAL_SECRET_FILE,"Reads IPAT_API_KEY and optional IPAT_SECRETS_FILE; supports reading secrets.json from disk"
core/key_manager.py,PERSISTED_KEY_PATH,"KeyManager stores keys under base_dir/{version}/priv.pem and pub.pem (priv.pem may be present in repo)"
core/audit_hash_log.py,PRIVATE_KEY_USAGE,"Exports/serializes PEM private/public keys for audit signing (check key origin)"
scripts/integration_run_safe.py,PERSISTED_PRIV_PATH,"References priv.pem in KeyManager version directory"
scripts/integration_demo.py,DEMO_SECRET,"Calls audit.enable_hmac('demo-secret-key') — demo secret embedded in code"
README_PRODUCTION.md,INSTRUCTION,"Documents that IPAT_API_KEY should be provided as env or secrets file (not a secret itself)"

# Generated on: 2026-05-27T00:00:00Z
